market_id,question,category,tags,event_id,created_at,updated_at,start_date,end_date,resolved_at,state,outcome,outcome_prices,total_volume_usdc,total_liquidity_usdc,volume_24hr,volume_1wk,volume_1mo,volume_1yr,best_bid,best_ask,last_trade_price,spread,uma_dispute,resolution_source,creator_address,is_community_created,fee_tier,neg_risk,active,closed,archived,restricted,slug,condition_id,question_id,description
241215,NBA: Will the Warriors beat the Rockets by more than 10.5 points in their January 31 (8 PM ET) matchup?,Sports,[],5876,2022-01-31T08:14:50.177Z,2024-04-22T22:55:29.254176Z,2022-01-31T22:01:25.203Z,2022-01-31T00:00:00Z,2024-04-22T22:55:29.254176Z,resolved,YES,"[""0.9999998335768762334726280441008943"", ""0.000000166423123766527371955899105749618""]",70069.35,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.nba.com/games,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,nba-will-the-warriors-beat-the-rockets-by-more-than-10p5-points-in-their-january-31-8-pm-et-matchup,0xc90efd8d8c847635635612cebf474d5e52b878144e36775320f280a28b04bca5,0x47122c1e22a091e684c2e22023716d94eb06563bd9714708747278673076ca62,"In the upcoming NBA game, scheduled for January 31:

If the Golden State Warriors win by over 10.5 points, the market will resolve to “Yes”.

If the Houston Rockets lose by less than 10.5 points or win, the market will resolve “No.” 

If the game is not completed by February 7 2022 (11:59:59 PM ET), the market will resolve 50-50."
241217,NHL: Will the Oilers beat the Senators by more than 1.5 goals in their January 31 matchup (7.30 PM ET)?,Sports,[],5874,2022-01-31T08:18:46.296Z,2024-04-22T23:40:08.418202Z,2022-01-31T22:02:36.532Z,2022-01-31T00:00:00Z,2024-04-22T23:40:08.418202Z,resolved,NO,"[""0.0000001740557983437816005654606792461013"", ""0.9999998259442016562183994345393208""]",628.71,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.nhl.com/scores/,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,nhl-will-the-oilers-beat-the-senators-by-more-than-1p5-goals-in-their-january-31-matchup-730-pm-et,0xc059c3299600f8448a60810a588d83ff46a8baa8023c22d5813886bc9910d71d,0xa7057db922b4468608c403c255e51f8715df112eab172d0e59118931e5791b45,"In the upcoming NHL game, scheduled for January 31:

If the Edmonton Oilers win by over 1.5 goals, the market will resolve to “Yes”.

If the Ottawa Senators lose by less than 1.5 goals or win, the market will resolve “No.” 

If the game is not completed by February 7 2022 (11:59:59 PM ET), the market will resolve 50-50."
241218,NHL: Will the Maple Leafs beat the Devils by more than 1.5 goals in their January 31 matchup (7.30 PM ET)?,Sports,[],5874,2022-01-31T08:20:06.329Z,2024-04-23T00:40:18.119988Z,2022-01-31T22:02:59.325Z,2022-01-31T00:00:00Z,2024-04-23T00:40:18.119988Z,resolved,YES,"[""0.9999998259664809734475741851333981"", ""0.000000174033519026552425814866601912507""]",3702.1,0.000109,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.nhl.com/scores/,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,nhl-will-the-maple-leafs-beat-the-devils-by-more-than-1p5-goals-in-their-january-31-matchup-730-pm-et,0xa7da8067b7f55e18d09adcd3121ad6cc2f4117c139ee8d79ee8c0c1b03e8318c,0xb2204c06fe28265173f7d0b3422bdcc094ee560905a22bc945e8b6c03f7c394a,"In the upcoming NHL game, scheduled for January 31:

If the Toronto Maple Leafs win by over 1.5 goals, the market will resolve to “Yes”.

If the New Jersey Devils lose by less than 1.5 goals or win, the market will resolve “No.” 

If the game is not completed by February 7 2022 (11:59:59 PM ET), the market will resolve 50-50."
241219,Will Joe Biden's FiveThirtyEight approval rating be 41.7% or more on February 9?,US-current-affairs,[],3035,2022-01-31T16:59:19.628Z,2024-04-24T23:39:13.773219Z,2022-01-31T18:41:32.644Z,2022-02-09T00:00:00Z,2024-04-24T23:39:13.773219Z,resolved,NO,"[""0.0000001442884903773126635208308397205554"", ""0.9999998557115096226873364791691603""]",3667.75,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://projects.fivethirtyeight.com/biden-approval-rating/,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,will-joe-bidens-fivethirtyeight-approval-rating-be-41p7-or-more-on-february-9,0x6c77d227c068eccfa38e313fd29c8c03bedc2fbfde2e6b02e81a089624b94227,0x9c634e457f9032b55e889cc61409839ef8ebe2a155269d69f7f2a0f45f82f454,"This is a market will resolve to “Yes”, if Joe Biden's approval rating by FiveThirtyEight will be equal to or more than 41.7% for the day of February 9 2022. Otherwise, this market will resolve to “No”.

The resolution source will be FiveThirtyEight's approval rating poll aggregator,
https://projects.fivethirtyeight.com/biden-approval-rating/, specifically the approval rating indicated by the green trend line for the resolution date. Changes in the methodology by which FiveThirtyEight calculates the approval rating will have no bearing on the resolution of this market.

The resolution data will be checked on February 10 2022  according to data published for February 9.

If for any reason the resolution source is unavailable, the resolution source will be checked every 24 hours until the rating for the resolution date is available. If the rating is still not available on the resolution source a week later or Joe Biden is not President on the resolution date, this market will resolve according to the most recent available approval rating. 
Please note, that the resolution source reports the rating value to only one decimal point (e.g. 42.8%, 33.9%, etc). Thus, this is the level of precision that will be used when resolving the market."
241221,Will Ethereum dip below $2000 by March 1?,,[],6086,2022-01-31T17:19:24.545Z,2024-04-23T00:26:05.469884Z,2022-01-31T20:13:52.183Z,2022-03-01T00:00:00Z,2024-04-23T00:26:05.469884Z,resolved,NO,"[""0.00000012453029234793286050151425816346"", ""0.9999998754697076520671394984857418""]",2356.86,300.74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.coingecko.com/en/coins/ethereum,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,will-ethereum-dip-below-2000-by-march-1,0x05ec523ef125df7c4182cd8cc8c8b32eeadedcc14209d1d39315746e9ca0b66d,0xee1ea3ebef604c9e2fcbae7231c5a77a3dc90f10e1e07201275ea42b24c1ae85,"This market will resolve to “Yes” if the price of Ethereum (ETH) falls below $2000.00 as per Coingecko (https://www.coingecko.com/en/coins/ethereum) at any time within the market time frame, and “No” otherwise. 

The market time frame spans from January 31 2022 (11:59:59 PM ET) to March 1 2022 (11:59:59 PM ET).

To resolve this market, Coingecko's 30min candlestick low prices will be used."
241223,NBA: Will the Grizzlies beat the 76ers by more than 3.5 points in their January 31 (7 PM ET) matchup?,Sports,[],5876,2022-01-31T18:28:55.927Z,2024-04-22T23:34:56.030504Z,2022-01-31T22:01:32.741Z,2022-01-31T00:00:00Z,2024-04-22T23:34:56.030504Z,resolved,NO,"[""0.0000001745428234320108434875740789284438"", ""0.9999998254571765679891565124259211""]",4371.78,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.nba.com/games,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,nba-will-the-grizzlies-beat-the-76ers-by-more-than-35-points-in-their-january-31-7-pm-et-matchup,0xae48dd4d33e8a3e004543e633681d1c6e6349168c3b209f0b32dc683e3cfffb5,0xcfa24eb2b7b514869b3415e7c6b9bc499a2bb735bd88b5d87db6e92f612c1671,"In the upcoming NBA game, scheduled for January 31:

If the Memphis Grizzlies win by over 3.5 points, the market will resolve to “Yes”.

If the Philadelphia 76ers  lose by less than 3.5 points or win, the market will resolve “No.” 

If the game is not completed by February 7 2022 (11:59:59 PM ET), the market will resolve 50-50."
241229,Will OpenSea have more than $4.5 billion in volume in February 2022?,Crypto,[],3237,2022-01-31T21:14:15.683Z,2024-04-22T23:25:55.205831Z,2022-02-03T15:43:20.084Z,2022-03-02T00:00:00Z,2024-04-22T23:25:55.205831Z,resolved,NO,"[""0.0000001276203323478061402830900175610412"", ""0.9999998723796676521938597169099824""]",16863.84,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://dune.xyz/rchen8/opensea,0x281777D3bdD096d302791F94A2E429bb98474227,False,,,True,True,False,True,will-opensea-have-more-than-45-billion-in-volume-in-february-2022,0x3ceecb5a7d69147fb577591f3e550eb175e25f81190bea4fab11e607165fc29c,0x56d0f2f43e5c60aac152855068efc20960abe756c8be0eb5f7a83651aac5b468,"This is a market on whether OpenSea’s Ethereum Volume in February 2022 will exceed $4,500,000,000 according to the “OpenSea monthly volume (Ethereum)” section on https://dune.xyz/rchen8/opensea. 

The source above will be checked on March 2, 2022 12:00 PM ET. If the USD-denominated OpenSea trading volume on Ethereum for the month of February is greater than $4.5b, the market will resolve to “Yes”, otherwise the market will resolve to “No”. 

If the link to the source changes, the new link(s) will be used as source(s). If the source is unavailable at the resolution time, the source will be checked every 24 hours for the following 7 days. If still unavailable after that week, DappRadar will be used instead."
241236,NHL: Will the Panthers beat the Rangers by more than 1.5 goals in their February 1 matchup (7 PM ET)?,Sports,[],5707,2022-02-01T13:02:36.065Z,2024-04-23T00:16:24.183232Z,2022-02-01T23:24:07.817Z,2022-02-01T00:00:00Z,2024-04-23T00:16:24.183232Z,resolved,NO,"[""0.0000001700187357136426191541867741474318"", ""0.9999998299812642863573808458132259""]",877.39,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.nhl.com/scores/,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,nhl-will-the-panthers-beat-the-rangers-by-more-than-15-goals-in-their-february-1-matchup-7-pm-et,0x9305a12b6458d880e3d4b5cf0af8a6254e37d653eacc3d6edada5597cafb141b,0x0fe12d5a6473f56c8c8dec1938d1e3c5cca6672b1e4bb8e6960defff03b998e7,"In the upcoming NHL game, scheduled for February 1:

If the Florida Panthers win by over 1.5 goals, the market will resolve to “Yes”.

If the New York Rangers lose by less than 1.5 goals or win, the market will resolve “No.” 

If the game is not completed by February 8 2022 (11:59:59 PM ET), the market will resolve 50-50."
241237,"NBA: Who will win the Pistons vs. Pelicans, scheduled for February 1 (7 PM ET)?",Sports,[],5663,2022-02-01T13:04:15.995Z,2024-04-23T00:29:08.155447Z,2022-02-01T23:19:34.569Z,2022-02-01T00:00:00Z,2024-04-23T00:29:08.155447Z,resolved,PELICANS,"[""0.0000004267453051652416294696372582164327"", ""0.9999995732546948347583705303627418""]",2900.25,295.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.nba.com/games,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,nba-who-will-win-the-pistons-vs-pelicans-scheduled-for-february-1-7-pm-et,0xb9a54e6c81ce1434fa496601bd712d6d9a063162675eec181e84b4305ff9971c,0xbce51346dccbd6ad35dcee24b9e7576d823b2cc8a7a664ef27d8f54007990d9a,"In the upcoming NBA game, scheduled for February 1:

If the Detroit Pistons win, the market will resolve to “Pistons.” 

If the New Orleans Pelicans win, the market will resolve to “Pelicans.” 

If the game is not completed by February 8, 2022 (11:59:59 PM ET), the market will resolve 50-50."
241239,NHL: Will the Predators beat the Canucks by more than 1.5 goals in their February 1 matchup (8 PM ET)?,Sports,[],5707,2022-02-01T13:07:52.187Z,2024-04-23T00:16:33.046291Z,2022-02-01T23:24:15.261Z,2022-02-01T00:00:00Z,2024-04-23T00:16:33.046291Z,resolved,YES,"[""0.9999998298162947400013515524809297"", ""0.0000001701837052599986484475190703387395""]",1092.24,299.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False,https://www.nhl.com/scores/,0x400567bc06000e36db66f725f16d08f4C579D1Fe,False,,,True,True,False,True,nhl-will-the-predators-beat-the-canucks-by-more-than-15-goals-in-their-february-1-matchup-8-pm-et,0xed3cb3795eb1b7240ce8d3481b41736cfb47f372dc6a4d4d2e1c22c02693abb4,0x03c5b5250c199a31a8b97c859d2a002cc0715154b7b5281322822a2a6dfbd2e2,"In the upcoming NHL game, scheduled for February 1:

If the Nashville Predators win by over 1.5 goals, the market will resolve to “Yes”.

If the Vancouver Canucks lose by less than 1.5 goals or win, the market will resolve “No.” 

If the game is not completed by February 8 2022 (11:59:59 PM ET), the market will resolve 50-50."
